"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"1","Greg Rousseau (BUF)","6","0","3","0","0","1","0","0","1","32.5","32.5","18.9%"
"2","Darrell Taylor (CHI)","7","1","2","0","0","1","0","0","1","28.3","28.3","2.0%"
"3","DeMarcus Lawrence (DAL)","4","1","2","0","0","1","0","0","1","26.3","26.3","5.8%"
"4","Keion White (NE)","3","1","2.5","0","0","1","0","0","1","24.3","24.3","17.9%"
"5","Joey Bosa (LAC)","6","1","1","0","0","1","0","0","1","20.3","20.3","7.9%"
"6","Jonathon Cooper (DEN)","2","4","2","0","0","0","0","0","1","19.0","19.0","10.4%"
"7","Pat Jones II (MIN)","2","2","2","0","0","0","0","0","1","17.5","17.5","1.7%"
"8","DeForest Buckner (IND)","5","1","1.5","0","0","0","0","0","1","16.8","16.8","25.5%"
"9","Travon Walker (JAC)","2","4","2","0","0","0","0","0","1","16.5","16.5","19.5%"
"10","Grady Jarrett (ATL)","2","1","1.5","0","0","0","0","0","1","14.8","14.8","2.2%"
"11","Poona Ford (LAC)","2","1","0","2","1","0","0","0","1","14.3","14.3","0.3%"
"12","Sebastian Joseph-Day (TEN)","2","1","1","1","0","0","0","0","1","14.3","14.3","0.8%"
"13","Boye Mafe (SEA)","3","1","1","0","0","0","0","0","1","14.3","14.3","9.6%"
"14","Tyquan Lewis (IND)","4","2","1","0","0","0","0","0","1","14.0","14.0","0.3%"
"15","Myles Garrett (CLE)","2","0","1","0","0","1","0","0","1","13.5","13.5","46.5%"
"16","Chris Jones (KC)","1","2","1","0","0","1","0","0","1","13.5","13.5","19.7%"
"17","Calais Campbell (MIA)","3","0","1","0","0","0","0","0","1","13.5","13.5","6.4%"
"18","Aidan Hutchinson (DET)","3","2","1","0","0","0","0","0","1","12.5","12.5","36.9%"
"19","Harrison Phillips (MIN)","1","4","1","1","0","0","0","0","1","12.5","12.5","3.6%"
"20","Roy Lopez (ARI)","1","0","1","0","0","1","0","0","1","12.0","12.0","0.7%"
