"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Kyler Murray (ARI)","17","21","81.0","266","12.7","3","0","1","5","59","0","0","1","28.5","28.5","94.5%"
"2","Jalen Hurts (PHI)","23","30","76.7","183","6.1","1","1","1","13","85","1","0","1","24.8","24.8","99.7%"
"3","Derek Carr (NO)","11","16","68.8","243","15.2","2","1","1","1","1","1","0","1","22.8","22.8","27.5%"
"4","Sam Darnold (MIN)","17","26","65.4","268","10.3","2","1","3","5","32","0","0","1","20.9","20.9","66.1%"
"5","Baker Mayfield (TB)","12","19","63.2","185","9.7","1","1","5","5","34","1","0","1","19.8","19.8","84.1%"
"6","Daniel Jones (FA)","16","28","57.1","178","6.4","2","0","1","5","32","0","0","1","18.3","18.3","14.1%"
"7","Geno Smith (SEA)","33","44","75.0","327","7.4","1","0","3","5","8","0","0","1","17.9","17.9","59.2%"
"8","Kirk Cousins (ATL)","20","29","69.0","241","8.3","2","0","1","4","-1","0","0","1","17.5","17.5","63.9%"
"9","Lamar Jackson (BAL)","21","34","61.8","247","7.3","1","1","2","5","45","0","0","1","17.4","17.4","99.8%"
"10","Joe Burrow (CIN)","23","36","63.9","258","7.2","2","0","3","6","9","0","1","1","17.2","17.2","97.3%"
"11","Deshaun Watson (CLE)","22","34","64.7","186","5.5","0","0","2","5","20","1","0","1","15.4","15.4","7.6%"
"12","Aaron Rodgers (NYJ)","18","30","60.0","176","5.9","2","0","2","2","1","0","0","1","15.1","15.1","45.1%"
"13","Brock Purdy (SF)","28","36","77.8","319","8.9","1","1","6","2","12","0","1","1","15.0","15.0","91.5%"
"14","Patrick Mahomes II (KC)","18","25","72.0","151","6.0","2","2","2","4","29","0","0","1","14.9","14.9","97.8%"
"15","Dak Prescott (DAL)","27","39","69.2","293","7.5","1","2","3","2","12","0","0","1","14.9","14.9","61.0%"
"16","C.J. Stroud (HOU)","23","36","63.9","260","7.2","1","0","3","1","-1","0","0","1","14.3","14.3","93.6%"
"17","Gardner Minshew II (LV)","30","38","78.9","276","7.3","1","1","5","1","-1","0","0","1","13.9","13.9","5.3%"
"18","Jayden Daniels (WAS)","23","29","79.3","226","7.8","0","0","5","10","44","0","0","1","13.4","13.4","98.1%"
"19","Trevor Lawrence (JAC)","14","30","46.7","220","7.3","0","0","4","2","45","0","0","1","13.3","13.3","32.3%"
"20","Malik Willis (GB)","12","14","85.7","122","8.7","1","0","0","6","41","0","0","1","13.0","13.0","2.0%"
"21","Anthony Richardson (IND)","17","34","50.0","204","6.0","1","3","1","4","37","0","0","1","12.9","12.9","62.6%"
"22","Will Levis (TEN)","19","28","67.9","192","6.9","1","1","4","4","38","0","1","1","12.5","12.5","9.4%"
"23","Justin Herbert (LAC)","14","20","70.0","130","6.5","2","1","1","6","18","0","1","1","12.0","12.0","64.8%"
"24","Justin Fields (PIT)","13","20","65.0","117","5.9","1","0","2","8","27","0","0","1","11.4","11.4","11.1%"
"25","Jared Goff (DET)","34","55","61.8","307","5.6","0","2","0","2","5","0","0","1","10.8","10.8","79.5%"
"26","Jacoby Brissett (NE)","15","27","55.6","149","5.5","1","0","3","2","6","0","0","1","10.6","10.6","2.4%"
"27","Bo Nix (DEN)","20","35","57.1","246","7.0","0","2","2","4","25","0","0","1","10.3","10.3","64.4%"
"28","Josh Allen (BUF)","13","19","68.4","139","7.3","1","0","0","2","2","0","0","1","9.8","9.8","99.7%"
"29","Caleb Williams (CHI)","23","37","62.2","174","4.7","0","2","7","5","44","0","0","1","9.4","9.4","51.0%"
"30","Tua Tagovailoa (MIA)","17","25","68.0","145","5.8","1","3","1","2","17","0","0","1","8.5","8.5","62.7%"
"31","Matthew Stafford (LAR)","19","27","70.4","216","8.0","0","0","5","0","0","0","1","1","6.6","6.6","51.3%"
"32","Skylar Thompson (MIA)","8","14","57.1","80","5.7","0","0","1","1","4","0","0","1","3.6","3.6","2.0%"
"33","Bryce Young (CAR)","18","26","69.2","84","3.2","0","1","2","1","6","0","0","1","3.0","3.0","5.2%"
"34","Jameis Winston (CLE)","0","0","0","0","0","0","0","0","2","4","0","0","1","0.4","0.4","13.1%"
"35","Cooper Rush (DAL)","1","3","33.3","6","2.0","0","0","0","0","0","0","0","1","0.2","0.2","4.2%"
"36","Zach Wilson (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
