"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","James Cook (BUF)","17","111","6.5","18","0","2","3","3","22","7.3","0","0","1","25.3","25.3","98.3%"
"2","Josh Jacobs (GB)","25","127","5.1","38","1","2","1","2","-2","-2.0","0","0","1","24.5","24.5","98.6%"
"3","Tyrone Tracy Jr. (NYG)","20","145","7.3","45","2","1","2","3","5","2.5","0","0","1","21.0","21.0","81.9%"
"4","De'Von Achane (MIA)","10","97","9.7","47","1","0","6","8","50","8.3","1","0","1","20.7","20.7","99.5%"
"5","Rhamondre Stevenson (NE)","20","48","2.4","7","0","2","3","3","17","5.7","0","0","1","20.5","20.5","92.0%"
"6","Joe Mixon (HOU)","25","102","4.1","21","1","1","4","6","32","8.0","0","0","1","19.4","19.4","99.1%"
"7","Jahmyr Gibbs (DET)","11","127","11.5","70","1","1","1","1","6","6.0","0","0","1","19.3","19.3","99.8%"
"8","D'Andre Swift (CHI)","18","129","7.2","56","2","1","0","0","0","0","0","0","1","18.9","18.9","92.9%"
"9","Jonathan Taylor (IND)","20","105","5.3","28","1","1","1","1","12","12.0","0","0","1","17.7","17.7","99.7%"
"10","Kyren Williams (LAR)","23","97","4.2","17","0","0","5","7","19","3.8","1","0","1","17.6","17.6","99.6%"
"11","Bijan Robinson (ATL)","13","63","4.8","13","0","0","7","7","43","6.1","1","0","1","16.6","16.6","99.8%"
"12","Isaac Guerendo (SF)","14","85","6.1","19","0","1","3","4","17","5.7","0","0","1","16.2","16.2","5.9%"
"13","Raheem Mostert (MIA)","9","19","2.1","13","0","2","1","2","11","11.0","0","0","1","15.0","15.0","65.8%"
"14","David Montgomery (DET)","9","33","3.7","9","0","1","1","1","5","5.0","0","0","1","13.9","13.9","96.1%"
"15","Derrick Henry (BAL)","11","73","6.6","39","1","1","1","1","4","4.0","0","0","1","13.7","13.7","99.7%"
"16","Najee Harris (PIT)","19","114","6.0","26","1","0","3","4","17","5.7","0","0","1","13.1","13.1","91.8%"
"17","James Conner (ARI)","20","53","2.7","17","0","1","2","3","16","8.0","0","0","1","12.9","12.9","95.8%"
"18","J.K. Dobbins (LAC)","17","57","3.4","13","0","1","4","7","11","2.8","0","0","1","12.8","12.8","91.4%"
"19","Kareem Hunt (KC)","21","59","2.8","7","0","1","1","1","4","4.0","0","0","1","12.3","12.3","88.5%"
"20","Alvin Kamara (NO)","10","67","6.7","24","2","0","6","11","55","9.2","0","0","1","12.2","12.2","99.2%"
"21","Tony Pollard (TEN)","20","94","4.7","17","0","0","3","4","23","7.7","0","0","1","11.7","11.7","92.1%"
"22","Jaleel McLaughlin (DEN)","8","47","5.9","10","0","0","1","1","9","9.0","1","0","1","11.6","11.6","15.4%"
"23","Saquon Barkley (PHI)","22","108","4.9","19","0","0","1","1","3","3.0","0","0","1","11.1","11.1","99.8%"
"24","Rachaad White (TB)","6","29","4.8","8","0","0","5","6","38","7.6","1","1","1","10.7","10.7","92.8%"
"25","Ezekiel Elliott (DAL)","10","34","3.4","11","0","1","1","1","4","4.0","0","0","1","9.8","9.8","36.5%"
"26","Aaron Jones (MIN)","19","58","3.1","9","0","0","2","2","37","18.5","0","0","1","9.5","9.5","96.6%"
"27","Chase Brown (CIN)","12","32","2.7","5","0","1","2","4","2","1.0","0","0","1","9.4","9.4","77.7%"
"28","Braelon Allen (NYJ)","12","32","2.7","6","0","1","0","0","0","0","0","0","1","9.2","9.2","26.4%"
"29","Breece Hall (NYJ)","16","80","5.0","16","0","0","1","3","9","9.0","0","0","1","8.9","8.9","99.6%"
"30","Tank Bigsby (JAC)","18","78","4.3","16","0","0","2","3","8","4.0","0","0","1","8.6","8.6","38.4%"
"31","Zach Charbonnet (SEA)","3","4","1.3","3","0","1","3","4","20","6.7","0","0","1","8.4","8.4","60.3%"
