"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Cole Kmet (CHI)","5","5","70","14.0","31","2","2","0","0","0","0","1","19.0","19.0","56.1%"
"2","George Kittle (SF)","5","6","58","11.6","29","1","2","0","0","0","0","1","17.8","17.8","99.1%"
"3","Mark Andrews (BAL)","3","4","66","22.0","38","1","1","0","0","0","0","1","12.6","12.6","91.0%"
"4","Sam LaPorta (DET)","1","1","52","52.0","52","1","1","0","0","0","0","1","11.2","11.2","95.8%"
"5","Hunter Henry (NE)","3","5","41","13.7","30","1","1","0","0","0","0","1","10.1","10.1","53.6%"
"6","Trey McBride (ARI)","8","8","96","12.0","27","1","0","0","0","0","0","1","9.6","9.6","98.4%"
"7","Evan Engram (JAC)","10","10","102","10.2","24","1","0","0","0","0","1","1","8.2","8.2","86.8%"
"8","Cade Otton (TB)","2","6","15","7.5","8","0","1","0","0","0","0","1","7.5","7.5","65.0%"
"9","Dawson Knox (BUF)","1","1","12","12.0","12","0","1","0","0","0","0","1","7.2","7.2","6.3%"
"10","Brock Bowers (LV)","9","10","71","7.9","18","0","0","0","0","0","0","1","7.1","7.1","97.9%"
"11","Kyle Pitts (ATL)","3","5","70","23.3","52","1","0","0","0","0","0","1","7.0","7.0","89.9%"
"12","Zach Ertz (WAS)","4","5","68","17.0","24","2","0","0","0","0","0","1","6.8","6.8","54.2%"
"13","Grant Calcaterra (PHI)","4","4","67","16.8","34","2","0","0","0","0","0","1","6.7","6.7","0.6%"
"14","Noah Fant (SEA)","6","6","63","10.5","12","0","0","0","0","0","0","1","6.3","6.3","15.3%"
"15","Foster Moreau (NO)","2","2","54","27.0","41","1","0","0","0","0","0","1","5.4","5.4","0.9%"
"16","Dalton Kincaid (BUF)","6","7","51","8.5","15","0","0","0","0","0","0","1","5.1","5.1","83.7%"
"17","Ja'Tavion Sanders (CAR)","5","7","49","9.8","21","1","0","0","0","0","0","1","4.9","4.9","5.0%"
"18","Juwan Johnson (NO)","3","3","48","16.0","27","1","0","0","0","0","0","1","4.8","4.8","4.8%"
"19","Mo Alie-Cox (IND)","4","4","41","10.3","22","1","0","0","0","0","0","1","4.1","4.1","0.1%"
"20","Ben Sims (GB)","2","2","38","19.0","28","1","0","0","0","0","0","1","3.8","3.8","0.1%"
"21","David Njoku (CLE)","5","7","31","6.2","14","0","0","0","0","0","0","1","3.1","3.1","88.5%"
"22","Theo Johnson (NYG)","3","3","30","10.0","15","0","0","0","0","0","0","1","3.0","3.0","5.0%"
"23","Isaiah Likely (BAL)","2","4","27","13.5","18","0","0","0","0","0","0","1","2.7","2.7","46.3%"
"24","Dalton Schultz (HOU)","4","8","27","6.8","9","0","0","0","0","0","0","1","2.7","2.7","57.5%"
"25","Will Dissly (LAC)","4","5","26","6.5","20","1","0","0","0","0","0","1","2.6","2.6","30.7%"
"26","Drew Ogletree (IND)","2","2","24","12.0","22","1","0","0","0","0","0","1","2.4","2.4","0.0%"
"27","Harrison Bryant (LV)","3","5","24","8.0","14","0","0","0","0","0","0","1","2.4","2.4","0.1%"
"28","Pat Freiermuth (PIT)","2","3","16","8.0","8","0","0","0","0","0","0","1","1.6","1.6","48.7%"
"29","Tucker Kraft (GB)","2","4","13","6.5","8","0","0","1","2","0","0","1","1.5","1.5","45.0%"
"30","AJ Barner (SEA)","1","1","13","13.0","13","0","0","0","0","0","0","1","1.3","1.3","1.7%"
"31","Lucas Krull (DEN)","2","4","11","5.5","8","0","0","0","0","0","0","1","1.1","1.1","0.1%"
"32","Brenton Strange (JAC)","1","2","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","9.9%"
"33","Jake Ferguson (DAL)","3","4","11","3.7","6","0","0","0","0","0","0","1","1.1","1.1","82.4%"
"34","Tyler Conklin (NYJ)","2","3","10","5.0","6","0","0","0","0","0","0","1","1.0","1.0","16.2%"
"35","Erick All Jr. (CIN)","2","3","10","5.0","9","0","0","0","0","0","0","1","1.0","1.0","1.0%"
"36","Stone Smartt (LAC)","1","1","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","0.0%"
"37","Darnell Washington (PIT)","1","1","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","0.3%"
"38","Jeremy Ruckert (NYJ)","2","3","7","3.5","8","0","0","0","0","0","0","1","0.7","0.7","0.1%"
"39","Chig Okonkwo (TEN)","3","3","6","2.0","5","0","0","0","0","0","0","1","0.6","0.6","6.8%"
"40","Nate Adkins (DEN)","1","1","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.0%"
"41","Connor Heyward (PIT)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","0.1%"
"42","Marcedes Lewis (CHI)","1","1","2","2.0","2","0","0","0","0","0","0","1","0.2","0.2","0.1%"
"43","Josh Whyle (TEN)","1","1","2","2.0","2","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"44","Jody Fortson Jr. (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"45","Donald Parham Jr. (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"46","Mitchell Fraboni (DEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"47","Parker Hesse (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"48","Matt Sokol (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"49","Matt Orzech (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"50","N'Keal Harry (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"51","Tommy Sweeney (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"52","T.J. Hockenson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","79.1%"
"53","Stephen Carlson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"54","Irv Smith Jr. (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"55","Andrew Beck (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"56","Drew Sample (CIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"57","Josh Oliver (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"58","Feleipe Franks (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"59","Brevin Jordan (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"60","Dalton Keene (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"61","Noah Gray (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.0%"
"62","Mitchell Wilcox (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"63","Luke Farrell (JAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"64","Josiah Deguara (JAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"65","Adam Trautman (DEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"66","Colby Parkinson (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.3%"
"67","Stephen Sullivan (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
