"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Buffalo Bills (BUF)","2","3","0","0","1","0","0","1","18.0","18.0","55.2%"
"2","Arizona Cardinals (ARI)","5","0","1","1","0","0","0","1","17.0","17.0","9.7%"
"3","Houston Texans (HOU)","7","2","0","0","0","0","0","1","15.0","15.0","72.1%"
"4","Pittsburgh Steelers (PIT)","2","2","0","0","0","0","0","1","13.0","13.0","87.9%"
"5","Minnesota Vikings (MIN)","6","1","1","1","0","0","0","1","13.0","13.0","76.7%"
"6","Los Angeles Chargers (LAC)","2","1","0","0","0","0","0","1","11.0","11.0","51.5%"
"7","Kansas City Chiefs (KC)","3","0","1","2","1","0","0","1","11.0","11.0","87.9%"
"8","New York Jets (NYJ)","4","1","1","1","0","0","0","1","11.0","11.0","70.6%"
"9","Green Bay Packers (GB)","1","3","0","1","0","0","0","1","11.0","11.0","35.9%"
"10","Cleveland Browns (CLE)","4","0","0","1","0","1","0","1","10.0","10.0","34.4%"
"11","Cincinnati Bengals (CIN)","2","2","1","1","0","0","0","1","9.0","9.0","20.4%"
"12","New Orleans Saints (NO)","3","2","0","1","0","0","0","1","8.0","8.0","25.7%"
"13","Detroit Lions (DET)","5","1","0","2","0","0","0","1","8.0","8.0","75.1%"
"14","San Francisco 49ers (SF)","4","1","1","2","0","0","0","1","8.0","8.0","81.1%"
"15","Baltimore Ravens (BAL)","5","1","0","1","0","0","0","1","7.0","7.0","73.2%"
"16","Seattle Seahawks (SEA)","3","0","0","1","0","0","0","1","6.0","6.0","11.1%"
"17","Denver Broncos (DEN)","2","0","0","0","0","0","0","1","6.0","6.0","74.4%"
"18","Chicago Bears (CHI)","3","0","1","1","0","0","0","1","6.0","6.0","51.7%"
"19","Tampa Bay Buccaneers (TB)","0","2","0","0","0","0","0","1","5.0","5.0","36.1%"
"20","Carolina Panthers (CAR)","1","1","1","1","0","0","0","1","5.0","5.0","1.0%"
"21","New York Giants (NYG)","5","0","0","0","0","0","0","1","5.0","5.0","19.3%"
"22","Washington Commanders (WAS)","1","0","1","1","0","0","0","1","4.0","4.0","48.8%"
"23","Las Vegas Raiders (LV)","2","1","0","0","0","0","0","1","4.0","4.0","3.3%"
"24","New England Patriots (NE)","3","0","0","0","0","0","0","1","3.0","3.0","5.8%"
"25","Atlanta Falcons (ATL)","1","1","0","0","0","0","0","1","3.0","3.0","14.8%"
"26","Jacksonville Jaguars (JAC)","2","0","0","1","0","0","0","1","3.0","3.0","6.0%"
"27","Indianapolis Colts (IND)","0","0","1","1","0","0","0","1","3.0","3.0","8.1%"
"28","Tennessee Titans (TEN)","2","0","0","0","0","0","0","1","2.0","2.0","10.8%"
"29","Philadelphia Eagles (PHI)","1","0","0","0","0","0","0","1","1.0","1.0","64.9%"
"30","Dallas Cowboys (DAL)","1","1","0","0","0","0","0","1","1.0","1.0","24.7%"
"31","Miami Dolphins (MIA)","0","0","0","0","0","0","0","1","0.0","0.0","47.0%"
"32","Los Angeles Rams (LAR)","1","0","1","1","0","0","0","1","-1.0","-1.0","13.2%"
""
""
